,Total_Repayments__c,,,Amount,,
,count,min,max,count,min,max
Cluster_result,,,,,,
359,77,16,16,77,3500,3500
360,8,24,24,8,1550,1550
361,95,12,12,95,2000,2000
362,91,8,8,91,700,700
363,46,10,10,46,1350,1350
364,78,7,7,78,1350,1350
365,72,8,8,72,1500,1500
366,39,7,7,39,1950,1950
367,49,5,5,49,1950,1950
368,39,5,5,39,2800,2800
369,37,5,5,37,1650,1650
370,13,9,9,13,4000,4000
371,18,8,8,18,4700,4700
372,18,8,8,18,4900,4900
373,25,6,6,25,1600,1600
374,12,20,20,12,2100,2100
375,5,36,36,5,2100,2100
376,31,23,23,31,2050,2050
377,93,14,14,93,2500,2500
378,53,11,11,53,400,400
379,121,1,1,121,300,300
380,79,5,5,79,2100,2100
381,203,7,7,203,1700,1700
382,98,16,16,98,1000,1000
383,400,14,14,400,1600,1600
384,37,15,15,37,4000,4000
385,19,3,3,19,1050,1050
386,8,3,3,8,2300,2300
387,351,4,4,351,5000,5000
388,84,5,5,84,5000,5000
389,49,6,6,49,950,950
390,84,10,10,84,3500,3500
391,29,13,13,29,5000,5000
392,14,8,8,14,2450,2450
393,10,7,7,10,2250,2250
394,28,5,5,28,2250,2250
395,16,30,30,16,2200,2200
396,20,10,10,20,4000,4000
397,5,6,6,5,2100,2100
398,32,14,14,32,2100,2100
399,5,5,5,5,3400,3400
400,21,6,6,21,3600,3600
401,17,8,8,17,3600,3600
402,8,6,6,8,3700,3700
403,7,8,8,7,3900,3900
404,86,12,12,86,2500,2500
405,169,7,7,169,3000,3000
406,38,17,17,38,5000,5000
407,62,7,7,62,1150,1150
408,13,18,18,13,4000,4000
409,11,10,10,11,4500,4500
410,10,9,9,10,700,700
411,79,18,18,79,2500,2500
412,7,16,16,7,400,400
413,64,16,16,64,2200,2200
414,9,20,20,9,3500,3500
415,21,6,6,21,1050,1050
416,5,5,5,5,2150,2150
417,33,8,8,33,2250,2250
418,32,5,5,32,2400,2400
419,6,8,8,6,2850,2850
420,24,2,2,24,1400,1400
421,79,8,8,79,200,200
422,24,9,9,24,300,300
423,36,11,11,36,3000,3000
424,118,14,14,118,3000,3000
425,53,16,16,53,2000,2000
426,25,16,16,25,4900,4900
427,9,13,13,9,2200,2200
428,72,9,9,72,500,500
429,5,12,12,5,2450,2450
430,83,7,7,83,1900,1900
431,12,8,8,12,2700,2700
432,37,5,5,37,1850,1850
433,6,12,12,6,4500,4500
434,10,15,15,10,4500,4500
435,24,3,3,24,1900,1900
436,25,3,3,25,1950,1950
437,95,4,4,95,2500,2500
438,88,12,12,88,1500,1500
439,52,8,8,52,2300,2300
440,12,13,13,12,1500,1500
441,84,4,4,84,1600,1600
442,66,15,15,66,3000,3000
443,15,20,20,15,4000,4000
444,24,16,16,24,4800,4800
445,222,15,15,222,5000,5000
446,42,36,36,42,5000,5000
447,35,10,10,35,1050,1050
448,45,1,1,45,1200,1200
449,18,1,1,18,1300,1300
450,21,1,1,21,1400,1400
451,18,1,1,18,1700,1700
452,10,24,24,10,1850,1850
453,5,2,2,5,1650,1650
454,14,10,10,14,2800,2800
455,8,9,9,8,2800,2800
456,27,16,16,27,2800,2800
457,121,14,14,121,250,250
458,140,12,12,140,1000,1000
459,5,26,26,5,700,700
460,49,14,14,49,1550,1550
461,17,13,13,17,2000,2000
462,26,24,24,26,2100,2100
463,36,6,6,36,1100,1100
464,11,15,15,11,500,500
465,26,24,24,26,3000,3000
466,5,12,12,5,1250,1250
467,8,8,8,8,3250,3250
468,56,8,8,56,450,450
469,45,10,10,45,1900,1900
470,6,14,14,6,3200,3200
471,70,9,9,70,1000,1000
472,6,14,14,6,2900,2900
473,18,26,26,18,3000,3000
474,5,7,7,5,2600,2600
475,21,8,8,21,2600,2600
476,108,16,16,108,2100,2100
477,15,9,9,15,450,450
478,17,18,18,17,2100,2100
479,93,8,8,93,300,300
480,7,20,20,7,1250,1250
481,59,14,14,59,1900,1900
482,9,16,16,9,1250,1250
483,76,14,14,76,1350,1350
484,66,22,22,66,2050,2050
485,9,15,15,9,2200,2200
486,24,10,10,24,2300,2300
487,30,10,10,30,2400,2400
488,23,10,10,23,2600,2600
489,22,15,15,22,2100,2100
490,24,10,10,24,1550,1550
491,52,14,14,52,1750,1750
492,7,12,12,7,3100,3100
493,11,10,10,11,3200,3200
494,16,7,7,16,2800,2800
495,13,3,3,13,4500,4500
496,132,1,1,132,400,400
497,89,8,8,89,1200,1200
498,44,5,5,44,1450,1450
499,73,4,4,73,1450,1450
500,14,3,3,14,1550,1550
501,11,3,3,11,1850,1850
502,9,4,4,9,1950,1950
503,39,13,13,39,3000,3000
504,5,6,6,5,1650,1650
505,24,3,3,24,2200,2200
506,19,4,4,19,2200,2200
507,11,4,4,11,2400,2400
508,9,3,3,9,2600,2600
